filename CAT1_x CAT1_y CAT2_x CAT2_y 
035686f8-9b2a-11ec-866d-48b02d2e6325.jpg 70 147 203 165 
04413bb2-9b2a-11ec-866d-48b02d2e6325.jpg 65 106 216 58 
0524f96a-9b2a-11ec-866d-48b02d2e6325.jpg 71 97 223 57 
065510b8-9b2a-11ec-866d-48b02d2e6325.jpg 65 179 225 124 
0734582c-9b2a-11ec-866d-48b02d2e6325.jpg 37 189 199 138 
080c4b38-9b2a-11ec-866d-48b02d2e6325.jpg 65 126 248 67 
08ec4ce2-9b2a-11ec-866d-48b02d2e6325.jpg 76 101 250 44 
0a0b6ea0-9b2a-11ec-866d-48b02d2e6325.jpg 3 102 201 28 
0d5db2e8-9b2a-11ec-866d-48b02d2e6325.jpg 96 221 253 142 
10111f48-9b2a-11ec-866d-48b02d2e6325.jpg 109 76 240 63 
113f5114-9b2a-11ec-866d-48b02d2e6325.jpg 110 85 243 58 
140ba582-9b2a-11ec-866d-48b02d2e6325.jpg 45 154 215 113 
15a960a0-9b2a-11ec-866d-48b02d2e6325.jpg 4 125 154 54 
16ebae14-9b2a-11ec-866d-48b02d2e6325.jpg 3 158 212 56 
183f7e6c-9b2a-11ec-866d-48b02d2e6325.jpg 61 206 237 151 
196b741c-9b2a-11ec-866d-48b02d2e6325.jpg 76 120 208 108 
1a99b1e6-9b2a-11ec-866d-48b02d2e6325.jpg 101 114 227 141 
1d5ea6e8-9b2a-11ec-866d-48b02d2e6325.jpg 121 167 235 168 
3fdbd16e-9b2a-11ec-866d-48b02d2e6325.jpg 132 154 245 170 
411794dc-9b2a-11ec-866d-48b02d2e6325.jpg 6 157 179 96 
41b023aa-9b2a-11ec-866d-48b02d2e6325.jpg 42 148 198 120 
4231e282-9b2a-11ec-866d-48b02d2e6325.jpg 20 191 176 168 
42de8398-9b2a-11ec-866d-48b02d2e6325.jpg 10 246 183 208 
4370c848-9b2a-11ec-866d-48b02d2e6325.jpg 13 46 184 26 
440411fc-9b2a-11ec-866d-48b02d2e6325.jpg 15 74 184 73 
448b1666-9b2a-11ec-866d-48b02d2e6325.jpg 
4562492e-9b2a-11ec-866d-48b02d2e6325.jpg 
45e0e23e-9b2a-11ec-866d-48b02d2e6325.jpg 23 102 235 117 
46671ed0-9b2a-11ec-866d-48b02d2e6325.jpg 44 113 230 122 
4711d4ba-9b2a-11ec-866d-48b02d2e6325.jpg 107 175 242 224 
4793b822-9b2a-11ec-866d-48b02d2e6325.jpg 129 54 247 84 
480c476a-9b2a-11ec-866d-48b02d2e6325.jpg 96 63 239 60 
4880b438-9b2a-11ec-866d-48b02d2e6325.jpg 80 139 234 134 
4b19849a-9b2a-11ec-866d-48b02d2e6325.jpg 52 175 191 163 
4cbd6118-9b2a-11ec-866d-48b02d2e6325.jpg 128 193 72 25 
4d58d044-9b2a-11ec-866d-48b02d2e6325.jpg 142 192 82 12 
4df8c3b0-9b2a-11ec-866d-48b02d2e6325.jpg 156 222 129 65 
4e9868c0-9b2a-11ec-866d-48b02d2e6325.jpg 157 220 127 53 
4f42ae7a-9b2a-11ec-866d-48b02d2e6325.jpg 200 172 156 31 
502783ba-9b2a-11ec-866d-48b02d2e6325.jpg 230 134 166 10 
50c47846-9b2a-11ec-866d-48b02d2e6325.jpg 
515d2dac-9b2a-11ec-866d-48b02d2e6325.jpg 
51f30afc-9b2a-11ec-866d-48b02d2e6325.jpg 167 248 93 108 
529f172a-9b2a-11ec-866d-48b02d2e6325.jpg 145 244 80 84 
53ed197e-9b2a-11ec-866d-48b02d2e6325.jpg 88 214 19 90 
55357006-9b2a-11ec-866d-48b02d2e6325.jpg 
55ef809a-9b2a-11ec-866d-48b02d2e6325.jpg 129 201 76 77 
569456b0-9b2a-11ec-866d-48b02d2e6325.jpg 153 202 65 79 
57474784-9b2a-11ec-866d-48b02d2e6325.jpg 149 206 71 70 
57df6d20-9b2a-11ec-866d-48b02d2e6325.jpg 135 204 62 75 
59139c7a-9b2a-11ec-866d-48b02d2e6325.jpg 132 220 87 107 
5a41d486-9b2a-11ec-866d-48b02d2e6325.jpg 70 218 31 79 
5ad53bf4-9b2a-11ec-866d-48b02d2e6325.jpg 129 241 80 96 
5b825582-9b2a-11ec-866d-48b02d2e6325.jpg 134 236 90 85 
5c1d1504-9b2a-11ec-866d-48b02d2e6325.jpg 166 173 120 23 
5cb73b02-9b2a-11ec-866d-48b02d2e6325.jpg 158 184 120 12 
5d6c3fca-9b2a-11ec-866d-48b02d2e6325.jpg 182 228 127 86 
5dfccc98-9b2a-11ec-866d-48b02d2e6325.jpg 178 223 122 68 
5e84e22c-9b2a-11ec-866d-48b02d2e6325.jpg 180 217 133 89 
5efbe5e8-9b2a-11ec-866d-48b02d2e6325.jpg 162 208 104 82 
5f8817f2-9b2a-11ec-866d-48b02d2e6325.jpg 149 210 86 66 
6020dfc8-9b2a-11ec-866d-48b02d2e6325.jpg 132 174 84 31 
60e2ae46-9b2a-11ec-866d-48b02d2e6325.jpg 131 179 90 28 
6187a996-9b2a-11ec-866d-48b02d2e6325.jpg 155 227 91 91 
6227976c-9b2a-11ec-866d-48b02d2e6325.jpg 158 222 109 103 
62cf7838-9b2a-11ec-866d-48b02d2e6325.jpg 144 201 106 52 
6360de36-9b2a-11ec-866d-48b02d2e6325.jpg 155 199 106 49 
64115be4-9b2a-11ec-866d-48b02d2e6325.jpg 170 231 120 78 
65c8c0ee-9b2a-11ec-866d-48b02d2e6325.jpg 175 218 114 74 
68f49aae-9b2a-11ec-866d-48b02d2e6325.jpg 
69ddfabe-9b2a-11ec-866d-48b02d2e6325.jpg 127 135 52 10 
6aa90538-9b2a-11ec-866d-48b02d2e6325.jpg 119 181 55 15 
6b3b8674-9b2a-11ec-866d-48b02d2e6325.jpg 85 219 20 80 
6bc648ae-9b2a-11ec-866d-48b02d2e6325.jpg 87 233 51 74 
6c6204b0-9b2a-11ec-866d-48b02d2e6325.jpg 115 218 84 76 
6d4cea3e-9b2a-11ec-866d-48b02d2e6325.jpg 72 180 23 26 
6dd93836-9b2a-11ec-866d-48b02d2e6325.jpg 95 202 58 63 
6e6d516a-9b2a-11ec-866d-48b02d2e6325.jpg 131 209 76 53 
6f0be97e-9b2a-11ec-866d-48b02d2e6325.jpg 154 230 127 85 
6f8aaf2a-9b2a-11ec-866d-48b02d2e6325.jpg 150 213 114 64 
70036190-9b2a-11ec-866d-48b02d2e6325.jpg 156 186 110 56 
706e32d6-9b2a-11ec-866d-48b02d2e6325.jpg 159 183 102 46 
8f3bbe78-9b29-11ec-866d-48b02d2e6325.jpg 
90c4a822-9b29-11ec-866d-48b02d2e6325.jpg 
9cf6c49a-9b29-11ec-866d-48b02d2e6325.jpg 15 202 145 209 
9f72afea-9b29-11ec-866d-48b02d2e6325.jpg 31 101 192 111 
a0c2d172-9b29-11ec-866d-48b02d2e6325.jpg 56 153 239 180 
a20bfa4a-9b29-11ec-866d-48b02d2e6325.jpg 107 206 248 210 
a455ed42-9b29-11ec-866d-48b02d2e6325.jpg 42 128 210 135 
a67f6f94-9b29-11ec-866d-48b02d2e6325.jpg 26 125 210 128 
a7f44cc8-9b29-11ec-866d-48b02d2e6325.jpg 36 187 93 81 
a8f4cd0a-9b29-11ec-866d-48b02d2e6325.jpg 18 247 109 157 
ace9d1a8-9b29-11ec-866d-48b02d2e6325.jpg 68 225 149 128 
af7d3798-9b29-11ec-866d-48b02d2e6325.jpg 77 225 162 105 
b42c84b0-9b29-11ec-866d-48b02d2e6325.jpg 80 228 160 109 
b6087e60-9b29-11ec-866d-48b02d2e6325.jpg 146 239 14 154 
b801a3d6-9b29-11ec-866d-48b02d2e6325.jpg 250 205 166 100 
b9480ad2-9b29-11ec-866d-48b02d2e6325.jpg 225 217 127 112 
bb429e42-9b29-11ec-866d-48b02d2e6325.jpg 229 223 109 117 
bd290926-9b29-11ec-866d-48b02d2e6325.jpg 207 185 55 107 
bf5398f6-9b29-11ec-866d-48b02d2e6325.jpg 133 225 16 147 
c21d48de-9b29-11ec-866d-48b02d2e6325.jpg 156 172 30 131 
c3949550-9b29-11ec-866d-48b02d2e6325.jpg 180 195 25 142 
c66e5f54-9b29-11ec-866d-48b02d2e6325.jpg 185 200 49 148 
c8f0d04a-9b29-11ec-866d-48b02d2e6325.jpg 102 235 129 128 
ca404552-9b29-11ec-866d-48b02d2e6325.jpg 104 234 123 136 
cb32d772-9b29-11ec-866d-48b02d2e6325.jpg 101 211 126 50 
cc1d4f32-9b29-11ec-866d-48b02d2e6325.jpg 99 193 126 66 
cd3bb296-9b29-11ec-866d-48b02d2e6325.jpg 90 217 95 110 
ce67d69a-9b29-11ec-866d-48b02d2e6325.jpg 83 211 113 100 
d182a896-9b29-11ec-866d-48b02d2e6325.jpg 86 208 105 118 
d3ef8bd0-9b29-11ec-866d-48b02d2e6325.jpg 127 125 33 215 
d5625254-9b29-11ec-866d-48b02d2e6325.jpg 100 67 12 105 
d67e9a6c-9b29-11ec-866d-48b02d2e6325.jpg 184 175 81 218 
d7d7d70c-9b29-11ec-866d-48b02d2e6325.jpg 152 94 35 151 
d8f9a052-9b29-11ec-866d-48b02d2e6325.jpg 173 144 63 234 
d9f3a85e-9b29-11ec-866d-48b02d2e6325.jpg 201 132 102 208 
dad0b5d2-9b29-11ec-866d-48b02d2e6325.jpg 195 34 92 81 
dba199fe-9b29-11ec-866d-48b02d2e6325.jpg 195 37 84 79 
dc6b5e6a-9b29-11ec-866d-48b02d2e6325.jpg 203 152 62 221 
dd47233c-9b29-11ec-866d-48b02d2e6325.jpg 180 128 41 213 
de07a5e4-9b29-11ec-866d-48b02d2e6325.jpg 199 75 32 139 
df18e7b8-9b29-11ec-866d-48b02d2e6325.jpg 195 46 44 98 
e1c355f2-9b29-11ec-866d-48b02d2e6325.jpg 111 145 22 150 
e3014348-9b29-11ec-866d-48b02d2e6325.jpg 124 154 35 156 
e56b62e4-9b29-11ec-866d-48b02d2e6325.jpg 166 133 74 145 
e6c3c578-9b29-11ec-866d-48b02d2e6325.jpg 53 182 176 109 
e7f9c7a8-9b29-11ec-866d-48b02d2e6325.jpg 59 173 206 101 
e9606b2e-9b29-11ec-866d-48b02d2e6325.jpg 122 180 238 133 
eb274df6-9b29-11ec-866d-48b02d2e6325.jpg 12 199 16 196 
ecb2c4d4-9b29-11ec-866d-48b02d2e6325.jpg 64 196 176 185 
ee030df8-9b29-11ec-866d-48b02d2e6325.jpg 104 145 221 103 
ef1fd00e-9b29-11ec-866d-48b02d2e6325.jpg 111 151 235 110 
effd0d5c-9b29-11ec-866d-48b02d2e6325.jpg 74 210 201 187 
f16ce25c-9b29-11ec-866d-48b02d2e6325.jpg 75 224 208 199 
f26c967a-9b29-11ec-866d-48b02d2e6325.jpg 87 105 222 76 
f3763166-9b29-11ec-866d-48b02d2e6325.jpg 76 65 221 41 
f4799828-9b29-11ec-866d-48b02d2e6325.jpg 124 167 233 157 
